Country;Region;Happiness Rank;Happiness Score;Economy (GDP per Capita);Social Support;Family;Health (Life Expectancy);Freedom;Trust (Government Corruption);Generosity;Dystopia Residual;Year
Croatia;Central and Eastern Europe;74;5.488;118.649;;0.60809;0.70524;0.23907;0.04002;0.18434;2.52462;2016
Hong Kong;Eastern Asia;75;5.458;15.107;;0.87021;0.95277;0.48079;0.31647;0.40097;0.92614;2016
Somalia;Sub-Saharan Africa;76;5.44;0.0;;0.33613;0.11466;0.56778;0.3118;0.27225;3.83772;2016
Kosovo;Central and Eastern Europe;77;5.401;0.90145;;0.66062;0.54;0.14396;0.06547;0.27992;2.80998;2016
Turkey;Middle East and Northern Africa;78;5.389;116.492;;0.87717;0.64718;0.23889;0.12348;0.04707;2.29074;2016
Indonesia;Southeastern Asia;79;5.314;0.95104;;0.87625;0.49374;0.39237;0.00322;0.56521;2.03171;2016
Jordan;Middle East and Northern Africa;80;5.303;0.99673;;0.86216;0.60712;0.36023;0.13297;0.14262;2.20142;2016
Azerbaijan;Central and Eastern Europe;81;5.291;112.373;;0.76042;0.54504;0.35327;0.17914;0.0564;2.2735;2016
Philippines;Southeastern Asia;82;5.279;0.81217;;0.87877;0.47036;0.54854;0.11757;0.21674;2.23484;2016
China;Eastern Asia;83;5.245;10.278;;0.79381;0.73561;0.44012;0.02745;0.04959;2.17087;2016
Bhutan;Southern Asia;84;5.196;0.8527;;0.90836;0.49759;0.46074;0.1616;0.48546;1.82916;2016
Kyrgyzstan;Central and Eastern Europe;85;5.185;0.56044;;0.95434;0.55449;0.40212;0.04762;0.38432;2.28136;2016
Serbia;Central and Eastern Europe;86;5.177;103.437;;0.81329;0.6458;0.15718;0.04339;0.20737;2.27539;2016
Bosnia and Herzegovina;Central and Eastern Europe;87;5.163;0.93383;;0.64367;0.70766;0.09511;0.0;0.29889;2.48406;2016
Montenegro;Central and Eastern Europe;88;5.161;107.838;;0.74173;0.63533;0.15111;0.12721;0.17191;2.25531;2016
Dominican Republic;Latin America and Caribbean;89;5.155;102.787;;0.99496;0.57669;0.52259;0.12372;0.21286;1.69626;2016
Morocco;Middle East and Northern Africa;90;5.151;0.84058;;0.38595;0.59471;0.25646;0.08404;0.04053;2.94891;2016
Hungary;Central and Eastern Europe;91;5.145;124.142;;0.93164;0.67608;0.1977;0.04472;99;1.95473;2016
Pakistan;Southern Asia;92;5.132;0.68816;;0.26135;0.40306;0.14622;0.1388;0.31185;3.18286;2016
Lebanon;Middle East and Northern Africa;93;5.129;112.268;;0.64184;0.76171;0.26228;0.03061;0.23693;2.07339;2016
Portugal;Western Europe;94;5.123;127.607;;0.94367;0.79363;0.44727;0.01521;0.11691;1.53015;2016
Macedonia;Central and Eastern Europe;95;5.121;10.193;;0.78236;0.64738;0.27668;0.07047;0.23507;2.08947;2016
Vietnam;Southeastern Asia;96;5.061;0.74037;;0.79117;0.66157;0.55954;0.11556;0.25075;1.9418;2016
Somaliland Region;Sub-Saharan Africa;97;5.057;0.25558;;0.75862;0.33108;0.3913;0.36794;0.51479;2.43801;2016
Tunisia;Middle East and Northern Africa;98;5.045;0.97724;;0.43165;0.59577;0.23553;0.0817;0.03936;2.68413;2016
Greece;Western Europe;99;5.033;124.886;;0.75473;0.80029;0.05822;0.04127;0.0;2.12944;2016
Tajikistan;Central and Eastern Europe;100;4.996;0.48835;;0.75602;0.53119;0.43408;0.13509;0.25998;2.39106;2016
Mongolia;Eastern Asia;101;4.907;0.98853;;1.08983;0.55469;0.35972;0.03285;0.34539;1.53586;2016
Laos;Southeastern Asia;102;4.876;0.68042;;0.5497;0.38291;0.52168;0.22423;0.43079;2.08637;2016
Nigeria;Sub-Saharan Africa;103;4.875;0.75216;;0.64498;0.05108;0.27854;0.0305;0.23219;2.88586;2016
Honduras;Latin America and Caribbean;104;4.871;0.69429;;0.75596;0.58383;0.26755;0.06906;0.2044;2.29551;2016
Iran;Middle East and Northern Africa;105;4.813;111.758;;0.38857;0.64232;0.22544;0.0557;0.38538;1.99817;2016
Zambia;Sub-Saharan Africa;106;4.795;0.61202;;0.6376;0.23573;0.42662;0.11479;0.17866;2.58991;2016
Nepal;Southern Asia;107;4.793;0.44626;;0.69699;0.50073;0.37012;0.07008;0.3816;2.32694;2016
Palestinian Territories;Middle East and Northern Africa;108;4.754;0.67024;;0.71629;0.56844;0.17744;0.10613;0.11154;2.40364;2016
Albania;Central and Eastern Europe;109;4.655;0.9553;;0.50163;0.73007;0.31866;0.05301;0.1684;1.92816;2016
Bangladesh;Southern Asia;110;4.643;0.54177;;0.24749;0.52989;0.39778;0.12583;0.19132;2.60904;2016
Sierra Leone;Sub-Saharan Africa;111;4.635;0.36485;;628;0.0;0.30685;0.08196;0.23897;3.01402;2016
Iraq;Middle East and Northern Africa;112;4.575;107.474;;0.59205;0.51076;0.24856;0.13636;0.19589;1.81657;2016
Namibia;Sub-Saharan Africa;113;4.574;0.93287;;0.70362;0.34745;0.48614;0.10398;0.07795;1.92198;2016
Cameroon;Sub-Saharan Africa;114;4.513;0.52497;;0.62542;0.12698;0.42736;0.06126;0.2268;2.5198;2016
Ethiopia;Sub-Saharan Africa;115;4.508;0.29283;;0.37932;0.34578;0.36703;0.1717;0.29522;2.65614;2016
South Africa;Sub-Saharan Africa;116;4.459;102.416;;0.96053;0.18611;0.42483;0.08415;0.13656;1.64227;2016
Sri Lanka;Southern Asia;117;4.415;0.97318;;0.84783;0.62007;0.50817;0.07964;0.46978;0.91681;2016
India;Southern Asia;118;4.404;0.74036;;0.29247;0.45091;0.40285;0.08722;0.25028;2.18032;2016
Myanmar;Southeastern Asia;119;4.395;0.34112;;0.69981;0.3988;0.42692;0.20243;0.81971;1.50655;2016
Egypt;Middle East and Northern Africa;120;4.362;0.95395;;0.49813;0.52116;0.18847;0.10393;0.12706;1.96895;2016
Armenia;Central and Eastern Europe;121;4.36;0.86086;;0.62477;0.64083;0.14037;0.03616;0.07793;1.97864;2016
Kenya;Sub-Saharan Africa;122;4.356;0.52267;;0.7624;0.30147;0.40576;0.06686;0.41328;1.88326;2016
Ukraine;Central and Eastern Europe;123;4.324;0.87287;;1.01413;0.58628;0.12859;0.01829;0.20363;1.50066;2016
Ghana;Sub-Saharan Africa;124;4.276;0.63107;;0.49353;0.29681;0.40973;0.0326;0.21203;2.2002;2016
Congo (Kinshasa);Sub-Saharan Africa;125;4.272;0.05661;;0.80676;188;0.15602;0.06075;0.25458;2.74924;2016
Georgia;Central and Eastern Europe;126;4.252;0.83792;;0.19249;0.64035;0.32461;0.3188;0.06786;1.87031;2016
Congo (Brazzaville);Sub-Saharan Africa;127;4.236;0.77109;;0.47799;0.28212;0.37938;0.09753;0.12077;2.10681;2016
Senegal;Sub-Saharan Africa;128;4.219;0.44314;;0.77416;0.40457;0.31056;0.11681;0.19103;1.97861;2016
Bulgaria;Central and Eastern Europe;129;4.217;111.306;;0.92542;0.67806;0.21219;0.00615;0.12793;1.15377;2016
Mauritania;Sub-Saharan Africa;130;4.201;0.61391;;0.84142;0.28639;0.1268;0.17955;0.22686;1.9263;2016
Zimbabwe;Sub-Saharan Africa;131;4.193;0.35041;;0.71478;0.1595;0.25429;0.08582;0.18503;2.4427;2016
Malawi;Sub-Saharan Africa;132;4.156;0.08709;;147;0.29364;0.4143;0.07564;0.30968;2.82859;2016
Sudan;Sub-Saharan Africa;133;4.139;0.63069;;0.81928;0.29759;0.0;0.10039;0.18077;2.10995;2016
Gabon;Sub-Saharan Africa;134;4.121;115.851;;0.72368;0.3494;0.28098;0.09314;0.06244;1.45332;2016
Mali;Sub-Saharan Africa;135;4.073;0.31292;;0.86333;0.16347;0.27544;0.13647;0.21064;2.11087;2016
Haiti;Latin America and Caribbean;136;4.028;0.34097;;0.29561;0.27494;0.12072;0.14476;0.47958;2.37116;2016
Botswana;Sub-Saharan Africa;137;3.974;109.426;;0.89186;0.34752;0.44089;0.10769;0.12425;0.96741;2016
Comoros;Sub-Saharan Africa;138;3.956;0.27509;;0.60323;0.29981;0.15412;0.18437;0.1827;2.25632;2016
Ivory Coast;Sub-Saharan Africa;139;3.916;0.55507;;0.57576;0.04476;0.40663;0.1553;0.20338;1.97478;2016
Cambodia;Southeastern Asia;140;3.907;0.55604;;0.5375;0.42494;0.58852;0.08092;0.40339;1.31573;2016
Angola;Sub-Saharan Africa;141;3.866;0.84731;;0.66366;0.04991;0.00589;0.08434;0.12071;2.09459;2016
Niger;Sub-Saharan Africa;142;3.856;0.1327;;0.6053;0.26162;0.38041;0.17176;0.2097;2.09469;2016
South Sudan;Sub-Saharan Africa;143;3.832;0.39394;;0.18519;0.15781;0.19662;0.13015;0.25899;2.50929;2016
Chad;Sub-Saharan Africa;144;3.763;0.42214;;0.63178;0.03824;0.12807;0.04952;0.18667;2.30637;2016
Burkina Faso;Sub-Saharan Africa;145;3.739;0.31995;;0.63054;0.21297;0.3337;0.12533;0.24353;1.87319;2016
Uganda;Sub-Saharan Africa;145;3.739;0.34719;;0.90981;0.19625;0.43653;0.06442;0.27102;1.51416;2016
Yemen;Middle East and Northern Africa;147;3.724;0.57939;;0.47493;0.31048;0.2287;0.05892;0.09821;1.97295;2016
Madagascar;Sub-Saharan Africa;148;3.695;0.27954;;0.46115;0.37109;0.13684;0.07506;0.2204;2.15075;2016
Tanzania;Sub-Saharan Africa;149;3.666;0.47155;;0.77623;357;0.3176;0.05099;0.31472;1.37769;2016
Liberia;Sub-Saharan Africa;150;3.622;0.10706;;0.50353;0.23165;0.25748;0.04852;0.24063;2.23284;2016
Guinea;Sub-Saharan Africa;151;3.607;0.22415;;0.3109;0.18829;0.30953;0.1192;0.29914;2.15604;2016
Rwanda;Sub-Saharan Africa;152;3.515;0.32846;;0.61586;0.31865;0.5432;0.50521;0.23552;0.96819;2016
Benin;Sub-Saharan Africa;153;3.484;0.39499;;0.10419;0.21028;0.39747;0.06681;0.2018;2.10812;2016
Afghanistan;Southern Asia;154;3.36;0.38227;;0.11037;0.17344;0.1643;0.07112;0.31268;2.14558;2016
Togo;Sub-Saharan Africa;155;3.303;0.28123;;0.0;0.24811;0.34678;0.11587;0.17517;2.1354;2016
Syria;Middle East and Northern Africa;156;3.069;0.74719;;0.14866;0.62994;0.06912;0.17233;0.48397;0.81789;2016
Burundi;Sub-Saharan Africa;157;2.905;0.06831;;0.23442;0.15747;0.0432;0.09419;0.2029;2.10404;2016
Norway;Western Europe;1;7.53700017929077;161.646.318.435.669;;1.53352355957031;0.796666502952576;0.635422587394714;0.315963834524155;0.36201223731041;2.27702665328979;2017
Denmark;Western Europe;2;7.52199983596802;148.238.301.277.161;;1.55112159252167;0.792565524578094;0.626006722450256;0.40077006816864;0.355280488729477;2.31370735168457;2017
Iceland;Western Europe;3;7.50400018692017;1.480.633.020.401;;1.6105740070343;0.833552122116089;0.627162635326385;0.153526559472084;0.475540220737457;2.32271528244019;2017
Switzerland;Western Europe;4;7.49399995803833;156.497.955.322.266;;1.51691174507141;0.858131289482117;0.620070576667786;0.367007285356522;0.290549278259277;2.2767162322998;2017
Finland;Western Europe;5;7.4689998626709;144.357.192.516.327;;1.5402467250824;0.80915766954422;0.617950856685638;0.38261154294014;0.24548277258873;2.4301815032959;2017
Netherlands;Western Europe;6;7.3769998550415;150.394.463.539.124;;1.42893922328949;0.810696125030518;0.585384488105774;0.282661825418472;0.470489829778671;2.29480409622192;2017
Canada;North America;7;7.31599998474121;147.920.441.627.502;;1.48134899139404;0.83455765247345;0.611100912094116;0.287371516227722;0.435539722442627;2.18726444244385;2017
New Zealand;Australia and New Zealand;8;7.31400012969971;140.570.604.801.178;;1.54819512367249;0.816759705543518;0.614062130451202;0.382816702127457;0.500005125999451;2.0464563369751;2017
Sweden;Western Europe;9;7.28399991989136;149.438.726.902.008;;1.47816216945648;0.830875158309937;0.612924098968506;0.384398728609085;0.385399252176285;2.09753799438477;2017
Australia;Australia and New Zealand;10;7.28399991989136;1.484.414.935.112;;1.51004195213318;0.84388679265976;0.601607382297516;0.301183730363846;0.477699249982834;2.06521081924438;2017
Israel;Middle East and Northern Africa;11;7.21299982070923;137.538.242.340.088;;1.37628996372223;0.83840399980545;0.405988603830338;0.0852421000599861;0.330082654953003;2.80175733566284;2017
Costa Rica;Latin America and Caribbean;12;7.0789999961853;110.970.628.261.566;;1.41640365123749;0.759509265422821;0.580131649971008;0.100106589496136;0.214613229036331;2.89863920211792;2017
Austria;Western Europe;13;7.00600004196167;148.709.726.333.618;;1.4599449634552;0.815328419208527;0.567766189575195;0.221060365438461;0.316472321748734;2.1385064125061;2017
United States;North America;14;6.99300003051758;154.625.928.401.947;;1.41992056369781;0.77428662776947;0.505740523338318;0.135638788342476;0.392578780651093;2.2181134223938;2017
Ireland;Western Europe;15;6.97700023651123;153.570.663.928.986;;1.55823111534119;0.80978262424469;0.573110342025757;0.29838815331459;0.42785832285881;1.77386903762817;2017
Germany;Western Europe;16;6.95100021362305;148.792.338.371.277;;1.47252035140991;0.798950731754303;0.562511384487152;0.276731938123703;0.336269170045853;2.01576995849609;2017
Belgium;Western Europe;17;6.89099979400635;146.378.076.076.508;;1.46231269836426;0.818091869354248;0.539770722389221;0.251343131065369;0.231503337621689;2.12421035766602;2017
Luxembourg;Western Europe;18;6.86299991607666;174.194.359.779.358;;1.45758366584778;0.845089495182037;0.59662789106369;0.31883442401886;0.283180981874466;1.61951208114624;2017
United Kingdom;Western Europe;19;6.71400022506714;144.163.393.974.304;;1.49646008014679;0.805335938930511;0.508190035820007;0.265428066253662;0.492774158716202;1.70414352416992;2017
Chile;Latin America and Caribbean;20;6.65199995040894;125.278.460.979.462;;1.28402495384216;0.819479703903198;0.376895278692245;0.0822879821062088;0.326662421226501;2.50958585739136;2017
United Arab Emirates;Middle East and Northern Africa;21;6.64799976348877;162.634.336.948.395;;1.26641023159027;0.726798236370087;0.60834527015686;0.324489563703537;0.3609419465065;1.734703540802;2017
Brazil;Latin America and Caribbean;22;6.63500022888184;110.735.321.044.922;;1.43130600452423;0.616552352905273;0.437453746795654;0.111092761158943;0.16234989464283;2.76926708221436;2017
Czech Republic;Central and Eastern Europe;23;6.60900020599365;135.268.235.206.604;;1.43388521671295;0.754444003105164;0.490946173667908;0.0368729270994663;0.0881067588925362;2.45186185836792;2017
Argentina;Latin America and Caribbean;24;6.59899997711182;118.529.546.260.834;;1.44045114517212;0.695137083530426;0.494519203901291;0.059739887714386;0.109457060694695;2.61400532722473;2017
Mexico;Latin America and Caribbean;25;6.57800006866455;115.318.381.786.346;;1.210862159729;0.709978997707367;0.412730008363724;0.132774114608765;0.120990432798862;2.83715486526489;2017
Singapore;Southeastern Asia;26;6.57200002670288;169.227.766.990.662;;1.35381436347961;0.949492394924164;0.549840569496155;0.46430778503418;0.345965981483459;1.21636199951172;2017
Malta;Western Europe;27;6.52699995040894;134.327.983.856.201;;1.48841166496277;0.821944236755371;0.588767051696777;0.153066068887711;0.574730575084686;1.55686283111572;2017
Uruguay;Latin America and Caribbean;28;6.4539999961853;121.755.969.524.384;;1.41222786903381;0.719216823577881;0.57939225435257;0.178061872720718;0.175096929073334;2.17240953445435;2017
Guatemala;Latin America and Caribbean;29;6.4539999961853;0.872001945972443;;1.25558519363403;0.540239989757538;0.531310617923737;0.0772232785820961;0.283488392829895;2.89389109611511;2017
Panama;Latin America and Caribbean;30;6.4520001411438;123.374.843.597.412;;1.37319254875183;0.706156134605408;0.550026834011078;0.070983923971653;0.21055693924427;2.30719995498657;2017
France;Western Europe;31;6.44199991226196;143.092.346.191.406;;1.38777685165405;0.844465851783752;0.470222115516663;0.172502428293228;0.129762306809425;2.00595474243164;2017
Thailand;Southeastern Asia;32;6.42399978637695;112.786.877.155.304;;1.42579245567322;0.647239029407501;0.580200731754303;0.0316127352416515;0.572123110294342;2.03950834274292;2017
Taiwan Province of China;East Asia;33;6.42199993133545;143.362.653.255.463;;1.38456535339355;0.793984234333038;0.361466586589813;0.0638292357325554;0.258360475301743;2.1266074180603;2017
Spain;Western Europe;34;6.40299987792969;138.439.786.434.174;;1.53209090232849;0.888960599899292;0.408781230449677;0.0709140971302986;0.190133571624756;1.92775774002075;2017
Qatar;Middle East and Northern Africa;35;6375;187.076.568.603.516;;1.27429687976837;0.710098087787628;0.604130983352661;0.439299255609512;0.330473870038986;1.1454644203186;2017
Colombia;Latin America and Caribbean;36;6.35699987411499;107.062.232.494.354;;1.4021829366684;0.595027923583984;0.477487415075302;0.0466687418520451;0.149014472961426;2.61606812477112;2017
Saudi Arabia;Middle East and Northern Africa;37;6.3439998626709;153.062.355.518.341;;1.28667759895325;0.590148329734802;0.449750572443008;0.27343225479126;0.147616013884544;2.0654296875;2017
Trinidad and Tobago;Latin America and Caribbean;38;6.16800022125244;136.135.590.076.447;;1.3802285194397;0.519983291625977;0.518630743026733;0.0089648161083459;0.325296461582184;2.05324745178223;2017
Kuwait;Middle East and Northern Africa;39;6.10500001907349;163.295.245.170.593;;1.25969874858856;0.632105708122253;0.496337592601776;0.215159550309181;0.228289797902107;1.64042520523071;2017
Slovakia;Central and Eastern Europe;40;6.09800004959106;132.539.355.754.852;;1.50505924224854;0.712732911109924;0.295817464590073;0.0242108516395092;0.136544480919838;2.09777665138245;2017
Bahrain;Middle East and Northern Africa;41;6.08699989318848;148.841.226.100.922;;1.32311046123505;0.653133034706116;0.536746919155121;0.257042169570923;0.172668486833572;1.65614938735962;2017
Malaysia;Southeastern Asia;42;6.08400011062622;129.121.541.976.929;;1.28464603424072;0.618784427642822;0.402264982461929;0.0656007081270218;0.416608929634094;2.00444889068604;2017
Nicaragua;Latin America and Caribbean;43;6.07100009918213;0.737299203872681;;1.28721570968628;0.653095960617065;0.447551846504211;0.130687981843948;0.301674216985703;2.51393055915833;2017
Ecuador;Latin America and Caribbean;44;6.00799989700317;100.082.039.833.069;;1.28616881370544;0.685636222362518;0.4551981985569;0.140134647488594;0.150112465023994;2.29035258293152;2017
El Salvador;Latin America and Caribbean;45;6.00299978256226;0.909784495830536;;1.18212509155273;0.596018552780151;0.432452529668808;0.0899809598922729;0.0782579854130745;2.7145938873291;2017
Poland;Central and Eastern Europe;46;5.97300004959106;129.178.786.277.771;;1.44571197032928;0.699475347995758;0.520342111587524;0.0593078061938286;0.158465966582298;1.79772281646729;2017
Uzbekistan;Central and Eastern Europe;47;5.97100019454956;0.786441087722778;;1.54896914958954;0.498272627592087;0.658248662948608;0.246528223156929;0.415983647108078;1.81691360473633;2017
Italy;Western Europe;48;5.96400022506714;139.506.661.891.937;;1.44492328166962;0.853144347667694;0.256450712680817;0.0280280914157629;0.17278964817524;1.81331205368042;2017
Russia;Central and Eastern Europe;49;5.96299982070923;128.177.809.715.271;;1.46928238868713;0.547349333763123;0.373783111572266;0.0329628810286522;0.0522638224065304;2.20560741424561;2017
Belize;Latin America and Caribbean;50;5.95599985122681;0.907975316047668;;1.08141779899597;0.450191766023636;0.547509372234344;0.0965810716152191;0.240015640854836;2.63195562362671;2017
Japan;Eastern Asia;51;5.92000007629395;141.691.517.829.895;;1.43633782863617;0.913475871086121;0.505625545978546;0.163760736584663;0.12057276815176;1.36322355270386;2017
Lithuania;Central and Eastern Europe;52;5.90199995040894;131.458.234.786.987;;1.47351610660553;0.62894994020462;0.234231784939766;0.0118656428530812;0.010164656676352;2.22844052314758;2017
Algeria;Middle East and Northern Africa;53;5.87200021743774;109.186.446.666.718;;1.1462174654007;0.617584645748138;0.233335807919502;0.146096110343933;0.0694366469979286;2.56760382652283;2017
Latvia;Central and Eastern Europe;54;5.84999990463257;126.074.862.480.164;;1.40471494197845;0.638566970825195;0.325707912445068;0.0738427266478539;0.153074786067009;1.99365520477295;2017
South Korea;Eastern Asia;55;5.83799982070923;140.167.844.295.502;;1.12827444076538;0.900214076042175;0.257921665906906;0.0632826685905457;0.206674367189407;1.88037800788879;2017
Moldova;Central and Eastern Europe;56;5.83799982070923;0.728870630264282;;1.25182557106018;0.589465200901031;0.240729048848152;0.0100912861526012;0.208779126405716;2.80780839920044;2017
Romania;Central and Eastern Europe;57;5.82499980926514;121.768.391.132.355;;1.15009129047394;0.685158312320709;0.457003742456436;0.00438790069893;0.133519917726517;2.17683148384094;2017
Bolivia;Latin America and Caribbean;58;5.82299995422363;0.833756566047668;;1.22761905193329;0.473630249500275;0.558732926845551;0.0604777261614799;0.22556072473526;2.44327902793884;2017
Turkmenistan;Central and Eastern Europe;59;5.82200002670288;113.077.676.296.234;;1.49314916133881;0.437726080417633;0.41827192902565;0.259270340204239;0.24992498755455;1.83290982246399;2017
Kazakhstan;Central and Eastern Europe;60;5.81899976730347;128.455.626.964.569;;1.38436901569366;0.606041550636292;0.437454283237457;0.119282886385918;0.201964423060417;1.78489255905151;2017
North Cyprus;Western Europe;61;5.80999994277954;13.469.113.111.496;;1.18630337715149;0.834647238254547;0.471203625202179;0.155353352427483;0.266845703125;1.54915761947632;2017
Slovenia;Central and Eastern Europe;62;5.75799989700317;13.412.059.545.517;;1.45251882076263;0.790828227996826;0.572575807571411;0.0451289787888527;0.242649093270302;1.31331729888916;2017
Peru;Latin America and Caribbean;63;5.71500015258789;103.522.527.217.865;;1.21877038478851;0.630166113376617;0.450002878904343;0.0470490865409374;0.126819714903831;2.20726943016052;2017
Mauritius;Sub-Saharan Africa;64;5.62900018692017;118.939.554.691.315;;1.20956099033356;0.638007462024689;0.491247326135635;0.0421815551817417;0.360933750867844;1.6975839138031;2017
Cyprus;Western Europe;65;5.62099981307983;135.593.807.697.296;;1.13136327266693;0.84471470117569;0.355111539363861;0.0412379764020443;0.271254301071167;1.62124919891357;2017
Estonia;Central and Eastern Europe;66;5.61100006103516;132.087.934.017.181;;1.47667109966278;0.695168316364288;0.479131430387497;0.183248922228813;0.0988908112049103;1.35750865936279;2017
Belarus;Central and Eastern Europe;67;5.56899976730347;115.655.755.996.704;;1.44494521617889;0.637714266777039;0.295400261878967;0.156313821673393;0.15513750910759;1.72323298454285;2017
Libya;Middle East and Northern Africa;68;5.52500009536743;110.180.306.434.631;;1.35756433010101;0.520169019699097;0.465733230113983;0.0926102101802826;0.152073666453362;1.83501124382019;2017
Turkey;Middle East and Northern Africa;69;5.5;119.827.437.400.818;;1.33775317668915;0.637605607509613;0.300740599632263;0.0996715798974037;0.0466930419206619;1.87927794456482;2017
Paraguay;Latin America and Caribbean;70;5.49300003051758;0.932537317276001;;1.50728487968445;0.579250693321228;0.473507791757584;0.091065913438797;0.224150657653809;1.6853334903717;2017
Hong Kong S.A.R., China;East Asia;71;5.47200012207031;155.167.484.283.447;;1.26279091835022;0.943062424659729;0.490968644618988;0.293933749198914;0.374465793371201;0.554633140563965;2017
Philippines;Southeastern Asia;72;5.42999982833862;0.85769921541214;;1.25391757488251;0.468009054660797;0.585214674472809;0.0993318930268288;0.193513423204422;1.97260475158691;2017
Serbia;Central and Eastern Europe;73;5.39499998092651;106.931.757.926.941;;1.25818979740143;0.65078467130661;0.208715528249741;0.0409037806093693;0.220125883817673;1.94708442687988;2017
Jordan;Middle East and Northern Africa;74;5.33599996566772;0.991012394428253;;1.23908889293671;0.604590058326721;0.418421149253845;0.11980327218771;0.172170460224152;1.79117655754089;2017
Hungary;Central and Eastern Europe;75;5.32399988174438;12.860.119.342.804;;1.34313309192657;0.687763452529907;0.175863519310951;0.0366369374096394;0.0784016624093056;1.71645927429199;2017
Jamaica;Latin America and Caribbean;76;5.31099987030029;0.925579309463501;;1.36821806430817;0.641022384166718;0.474307239055634;0.0552677810192108;0.233818337321281;1.61232566833496;2017
Croatia;Central and Eastern Europe;77;5.29300022125244;122.255.623.340.607;;0.96798300743103;0.701288521289825;0.255772292613983;0.0431031100451946;0.248002976179123;1.85449242591858;2017
Kosovo;Central and Eastern Europe;78;5.27899980545044;0.951484382152557;;1.13785350322723;0.541452050209045;0.260287940502167;0.0574716180562973;0.319931447505951;2.01054072380066;2017
China;Eastern Asia;79;5.27299976348877;108.116.579.055.786;;1.16083741188049;0.741415500640869;0.472787708044052;0.0227942746132612;0.0288068410009146;1.76493859291077;2017
Pakistan;Southern Asia;80;5.26900005340576;0.72688353061676;;0.672690689563751;0.402047783136368;0.23521526157856;0.124348066747189;0.315446019172668;2.79248929023743;2017
Indonesia;Southeastern Asia;81;5.26200008392334;0.995538592338562;;1.27444469928741;0.492345720529556;0.443323463201523;0.0153171354904771;0.611704587936401;1.42947697639465;2017
Venezuela;Latin America and Caribbean;82;5.25;112.843.120.098.114;;1.43133759498596;0.617144227027893;0.153997123241425;0.0644911229610443;0.0650196298956871;1.78946375846863;2017
Montenegro;Central and Eastern Europe;83;5.23699998855591;112.112.903.594.971;;1.23837649822235;0.667464673519135;0.194989055395126;0.0881741940975189;0.197911024093628;1.72919154167175;2017
Morocco;Middle East and Northern Africa;84;5.2350001335144;0.878114581108093;;0.774864435195923;0.59771066904068;0.408158332109451;0.0877631828188896;0.0322099551558495;2.45618939399719;2017
Azerbaijan;Central and Eastern Europe;85;5.23400020599365;115.360.176.563.263;;1.15240025520325;0.540775775909424;0.398155838251114;0.180987507104874;0.0452693402767181;1.76248168945312;2017
Dominican Republic;Latin America and Caribbean;86;5.23000001907349;107.937.383.651.733;;1.40241670608521;0.574873745441437;0.55258983373642;0.113945253193378;0.186967849731445;1.31946516036987;2017
Greece;Western Europe;87;5.22700023651123;128.948.748.111.725;;1.23941457271576;0.810198903083801;0.0957312509417534;0.04328977689147;0.0;1.74922156333923;2017
Lebanon;Middle East and Northern Africa;88;5.22499990463257;107.498.753.070.831;;1.12962424755096;0.735081076622009;0.288515985012054;0.037513829767704;0.264450758695602;1.69507384300232;2017
Portugal;Western Europe;89;5.19500017166138;13.151.752.948.761;;1.36704301834106;0.795843541622162;0.498465299606323;0.0158694516867399;0.0951027125120163;1.10768270492554;2017
Bosnia and Herzegovina;Central and Eastern Europe;90;5.18200016021729;0.982409417629242;;1.0693359375;0.705186307430267;0.204403176903725;0.0;0.328867495059967;1.89217257499695;2017
Honduras;Latin America and Caribbean;91;5.18100023269653;0.730573117733002;;1.14394497871399;0.582569479942322;0.348079860210419;0.0733454525470734;0.236188873648643;2.06581115722656;2017
Macedonia;Central and Eastern Europe;92;5.17500019073486;106.457.793.712.616;;1.20789301395416;0.644948184490204;0.325905978679657;0.0602777935564518;0.25376096367836;1.6174693107605;2017
Somalia;Sub-Saharan Africa;93;5.15100002288818;0.0226431842893362;;0.721151351928711;0.113989137113094;0.602126955986023;0.282410323619843;0.291631311178207;3.11748456954956;2017
Vietnam;Southeastern Asia;94;5.07399988174438;0.788547575473785;;1.27749133110046;0.652168989181519;0.571055591106415;0.0876332372426987;0.234968051314354;1.46231865882874;2017
Nigeria;Sub-Saharan Africa;95;5.07399988174438;0.783756256103516;;1.21577048301697;0.0569157302379608;0.394952565431595;0.0261215660721064;0.230947196483612;2.36539053916931;2017
Tajikistan;Central and Eastern Europe;96;5.04099988937378;0.524713635444641;;1.27146327495575;0.529235124588013;0.471566706895828;0.146377146244049;0.248997643589973;1.84904932975769;2017
Bhutan;Southern Asia;97;5.01100015640259;0.885416388511658;;1.34012651443481;0.495879292488098;0.501537680625916;0.173380389809608;0.474054545164108;1.14018440246582;2017
Kyrgyzstan;Central and Eastern Europe;98;5.00400018692017;0.596220076084137;;1.39423859119415;0.553457796573639;0.454943388700485;0.0394391790032387;0.42858037352562;1.53672313690186;2017
Nepal;Southern Asia;99;4.96199989318848;0.479820191860199;;1.17928326129913;0.504130780696869;0.440305948257446;0.0729755461215973;0.394096165895462;1.8912410736084;2017
Mongolia;Eastern Asia;100;4.95499992370605;102.723.586.559.296;;1.4930112361908;0.557783484458923;0.394143968820572;0.0329022891819477;0.338464230298996;1.11129236221313;2017
